id,title_en,title_es,current_type,current_route,current_level,current_domain,learning_objective,actual_user_action,estimated_minutes,prerequisites,related_concepts,primary_sources,images,interactive_elements,technical_accuracy_status,content_depth,cognitive_load,duplication_candidates,target_route,target_stage,target_type,recommended_action,migration_notes,confidence
concept:durability-and-crash-recovery,"Durability, write-ahead logging and crash recovery","Durabilidad, write-ahead log y recuperación ante fallos",spine-concept,/[locale]/lesson/technical-depth-l5,L5,technical-depth,"The write returned OK and then the machine lost power. What was actually on disk, and what did fsync have to do with it?",read+answer-check+graded-checkpoint+self-graded-recall,3,acid-transactions,,"Kleppmann, DDIA, Ch.3 (Storage & Retrieval — Making B-Trees Reliable: write-ahead/redo log, crash recovery)|Kleppmann, DDIA, Ch.3 (Storage & Retrieval — Making B-Trees Reliable: write-ahead/redo log, crash recovery)",schematic:flow,cloze|order,sourced,9,651,,shared-foundations,F2,shared-foundation,CONVERT_TO_SHARED_FOUNDATION,"Appears in both routes' prerequisite closure; canonical definition in Codex, application per route.",high
concept:storage-engines-lsm-vs-btree,Storage engines: LSM-tree vs B-tree,Motores de almacenamiento: LSM-tree vs B-tree,spine-concept,/[locale]/lesson/technical-depth-l5,L5,technical-depth,"Your workload is mostly writes with occasional lookups. Do you want a store that appends and merges later, or one that updates pages in place?",read+manipulate-widget+answer-check+graded-checkpoint+self-graded-recall,4,indexing-tradeoffs|durability-and-crash-recovery,disk-based-ann,"Kleppmann, DDIA, Ch.3 (SSTables & LSM-Trees vs B-Trees, amplification)|Kleppmann, DDIA, Ch.3 (SSTables & LSM-Trees vs B-Trees, amplification)",schematic:compare,spectrum|match|categorize,sourced,7,523,,shared-foundations,F2,shared-foundation,CONVERT_TO_SHARED_FOUNDATION,"Appears in both routes' prerequisite closure; canonical definition in Codex, application per route.",high
concept:replication-models,"Replication: single-leader, multi-leader, leaderless","Replicación: líder único, multi-líder, sin líder",spine-concept,/[locale]/lesson/technical-depth-l5,L5,technical-depth,"How many copies of your data are allowed to accept writes, and what happens when two of them accept conflicting writes for the same row?",read+manipulate-widget+answer-check+graded-checkpoint+self-graded-recall,4,isolation-levels,,"Kleppmann, DDIA, Ch.5 (Leaders & Followers, Multi-Leader, Leaderless)|Kleppmann, DDIA, Ch.5 (Leaders & Followers, Multi-Leader, Leaderless)",schematic:compare,consensus|order|match,sourced,7,570,,shared-foundations,F2,shared-foundation,CONVERT_TO_SHARED_FOUNDATION,"Appears in both routes' prerequisite closure; canonical definition in Codex, application per route.",high
concept:partitioning-sharding,Partitioning and sharding without hot spots,Particionamiento y sharding sin puntos calientes,spine-concept,/[locale]/lesson/technical-depth-l5,L5,technical-depth,You spread the table across many machines and one of them is still pinned at full load. What did the partition key get wrong?,read+manipulate-widget+answer-check+graded-checkpoint+self-graded-recall,4,replication-models,,"Kleppmann, DDIA, Ch.6 (Partitioning by Key Range/Hash, Rebalancing)|Kleppmann, DDIA, Ch.6 (Partitioning by Key Range/Hash, Rebalancing)",schematic:compare,spectrum|cloze|categorize,sourced,8,605,,shared-foundations,F2,shared-foundation,CONVERT_TO_SHARED_FOUNDATION,"Appears in both routes' prerequisite closure; canonical definition in Codex, application per route.",high
concept:linearizability-vs-eventual,Linearizable vs eventual consistency and its price,Consistencia linealizable vs eventual y su precio,spine-concept,/[locale]/lesson/technical-depth-l5,L5,technical-depth,"You write a value, read it back from another replica, and get the old one. What would it cost to guarantee that never happens?",read+manipulate-widget+answer-check+graded-checkpoint+self-graded-recall,4,replication-models,,"Kleppmann, DDIA, Ch.9 (Linearizability); Jepsen consistency map (jepsen.io/consistency/models)|Kleppmann, DDIA, Ch.9 (Linearizability); Jepsen consistency map (jepsen.io/consistency/models)",schematic:compare,consistency|cloze|categorize,sourced,7,571,,shared-foundations,F2,shared-foundation,CONVERT_TO_SHARED_FOUNDATION,"Appears in both routes' prerequisite closure; canonical definition in Codex, application per route.",high
concept:cap-theorem,CAP: consistency (=linearizability) vs availability under partition,CAP: consistencia (=linealizabilidad) vs disponibilidad ante partición,spine-concept,/[locale]/lesson/technical-depth-l5,L5,technical-depth,"The link between your two datacenters drops. Do you refuse writes until it returns, or keep answering with data that may already be wrong?",read+manipulate-widget+answer-check+graded-checkpoint+self-graded-recall,5,linearizability-vs-eventual,,"Kleppmann, DDIA, Ch.9 (CAP's consistency = linearizability); Gilbert & Lynch, 'Brewer's Conjecture and the Feasibility of CAP' (2002 — atomic/linearizable consistency)|Kleppmann, DDIA, Ch.9 (CAP's consistency = linearizability); Gilbert & Lynch, 'Brewer's Conjecture and the Feasibility of CAP' (2002 — atomic/linearizable consistency)",schematic:compare,consistency|match|categorize,sourced,7,590,,shared-foundations,F2,shared-foundation,CONVERT_TO_SHARED_FOUNDATION,"Appears in both routes' prerequisite closure; canonical definition in Codex, application per route.",high
concept:stream-processing-derived-data-systems,Stream Processing and Derived Data: Stop Doing Dual Writes,Procesamiento de streams y datos derivados: deja de hacer escrituras duales,spine-concept,/[locale]/lesson/technical-depth-l5,L5,technical-depth,Your handler writes the order to the database and to the search index. What happens on the day the second of those writes fails?,read+manipulate-widget+answer-check+graded-checkpoint+self-graded-recall,4,,,"Designing Data-Intensive Applications, Martin Kleppmann (O'Reilly) — Part III: Derived Data, Chapters 10-12|Designing Data-Intensive Applications, Martin Kleppmann (O'Reilly) — Part III: Derived Data, Chapters 10-12",schematic:compare,decision-flow|cloze|order,sourced,7,541,,shared-foundations,F2,shared-foundation,CONVERT_TO_SHARED_FOUNDATION,"Appears in both routes' prerequisite closure; canonical definition in Codex, application per route.",high
concept:security-engineering-threat-modeling-authn,Threat Modeling: Owning Security at Design Time,Modelado de amenazas: ser dueño de la seguridad desde el diseño,spine-concept,/[locale]/lesson/technical-depth-l5,L5,technical-depth,"Before a line of code exists: who would want to attack this system, where would they get in, and how far could they reach?",read+manipulate-widget+answer-check+graded-checkpoint+self-graded-recall,5,,,"Adam Shostack, ""Threat Modeling: Designing for Security"" (Wiley, 2014) — the canonical STRIDE reference; complemented by Google's ""Building Secure and Reliable Systems"" (O'Reilly, 2020).|Adam Shostack, ""Threat Modeling: Designing for Security"" (Wiley, 2014) — the canonical STRIDE reference; complemented by Google's ""Building Secure and Reliable Systems"" (O'Reilly, 2020).",schematic:flow,threat-board|match|order,sourced,7,618,,shared-foundations,F2,shared-foundation,CONVERT_TO_SHARED_FOUNDATION,"Appears in both routes' prerequisite closure; canonical definition in Codex, application per route.",high
concept:pacelc-tradeoffs,PACELC: latency vs consistency even without partitions,PACELC: latencia vs consistencia incluso sin particiones,spine-concept,/[locale]/lesson/technical-depth-l6,L6,technical-depth,"The network is perfectly healthy today. Why is every read still paying for consistency, and what would you get back by giving some of it up?",read+manipulate-widget+answer-check+graded-checkpoint+self-graded-recall,4,cap-theorem|linearizability-vs-eventual,,"Abadi, 'Consistency Tradeoffs in Modern Distributed Database System Design' (PACELC), IEEE Computer, 2012|Abadi, 'Consistency Tradeoffs in Modern Distributed Database System Design' (PACELC), IEEE Computer, 2012",schematic:compare,consistency|match|categorize,sourced,7,510,,shared-foundations,F3,shared-foundation,CONVERT_TO_SHARED_FOUNDATION,"Appears in both routes' prerequisite closure; canonical definition in Codex, application per route.",high
concept:consistency-model-spectrum,"The consistency spectrum: causal, snapshot, serializable","El espectro de consistencia: causal, snapshot, serializable",spine-concept,/[locale]/lesson/technical-depth-l6,L6,technical-depth,Chat messages only need to arrive in a sensible order; a money transfer needs far more. Which named model does each of those two actually require?,read+manipulate-widget+answer-check+graded-checkpoint+self-graded-recall,5,linearizability-vs-eventual|isolation-levels,,"Jepsen consistency models hierarchy (jepsen.io/consistency/models — strict serializable → serializable → SI/RR; linearizable → sequential → causal → PRAM); Kleppmann, DDIA Ch.9 (linearizability and serializability are orthogonal)|Jepsen consistency models hierarchy (jepsen.io/consistency/models — strict serializable → serializable → SI/RR; linearizable → sequential → causal → PRAM); Kleppmann, DDIA Ch.9 (linearizability and serializability are orthogonal)",schematic:axes,consistency|categorize|order,sourced,8,627,,shared-foundations,F3,shared-foundation,CONVERT_TO_SHARED_FOUNDATION,"Appears in both routes' prerequisite closure; canonical definition in Codex, application per route.",high
concept:delivery-semantics-idempotency,Delivery semantics and idempotency (at-least-once vs exactly-once),Semántica de entrega e idempotencia (al-menos-una-vez vs exactamente-una-vez),spine-concept,/[locale]/lesson/technical-depth-l6,L6,technical-depth,The payment request timed out and the client retried it. How do you make sure the customer is not charged a second time?,read+manipulate-widget+answer-check+graded-checkpoint+self-graded-recall,4,network-latency-throughput,tool-error-as-prompt,"Kleppmann, DDIA, Ch.11 (Stream Processing — Fault Tolerance: at-least-once vs exactly-once, idempotence, atomic commit) and Ch.12 (idempotence, dedup)|Kleppmann, DDIA, Ch.11 (Stream Processing — Fault Tolerance: at-least-once vs exactly-once, idempotence, atomic commit) and Ch.12 (idempotence, dedup)",schematic:flow,spectrum|cloze|order,sourced,7,508,,shared-foundations,F3,shared-foundation,CONVERT_TO_SHARED_FOUNDATION,"Appears in both routes' prerequisite closure; canonical definition in Codex, application per route.",high
concept:consensus-and-atomic-commit,"Consensus and atomic commit (Raft, quorums, 2PC)","Consenso y commit atómico (Raft, quorums, 2PC)",spine-concept,/[locale]/lesson/technical-depth-l6,L6,technical-depth,Your nodes have to agree on exactly one leader while messages are being lost. When does that justify a Raft cluster instead of a simpler quorum?,read+manipulate-widget+answer-check+graded-checkpoint+self-graded-recall,4,replication-models|partitioning-sharding,,"Kleppmann, DDIA, Ch.9 (Consensus, 2PC); Ongaro & Ousterhout, 'In Search of an Understandable Consensus Algorithm' (Raft), 2014|Kleppmann, DDIA, Ch.9 (Consensus, 2PC); Ongaro & Ousterhout, 'In Search of an Understandable Consensus Algorithm' (Raft), 2014",schematic:compare,consensus|match|categorize,sourced,8,616,,shared-foundations,F3,shared-foundation,CONVERT_TO_SHARED_FOUNDATION,"Appears in both routes' prerequisite closure; canonical definition in Codex, application per route.",high
concept:distributed-failure-modes,"Partial failure: clocks, split-brain, network faults","Falla parcial: relojes, split-brain, fallas de red",spine-concept,/[locale]/lesson/technical-depth-l6,L6,technical-depth,A node stopped answering and its clock disagrees with yours. How do you tell dead from slow before you promote a second leader?,read+answer-check+graded-checkpoint+self-graded-recall,4,network-latency-throughput|consensus-and-atomic-commit,,"Kleppmann, DDIA, Ch.8 (The Trouble with Distributed Systems — Unreliable Clocks, Process Pauses)|Kleppmann, DDIA, Ch.8 (The Trouble with Distributed Systems — Unreliable Clocks, Process Pauses)",schematic:flow,cloze|match,sourced,9,663,,shared-foundations,F3,shared-foundation,CONVERT_TO_SHARED_FOUNDATION,"Appears in both routes' prerequisite closure; canonical definition in Codex, application per route.",high
concept:backpressure-flow-control,"Backpressure, load shedding and bounded resources","Backpressure, descarte de carga y recursos acotados",spine-concept,/[locale]/lesson/technical-depth-l6,L6,technical-depth,"Traffic doubles, every queue keeps growing, and clients keep retrying. Would you rather reject some requests now or watch the whole system stop?",read+manipulate-widget+answer-check+graded-checkpoint+self-graded-recall,4,network-latency-throughput,,"Google SRE Book, 'Handling Overload' & 'Addressing Cascading Failures' (sre.google/sre-book)|Google SRE Book, 'Handling Overload' & 'Addressing Cascading Failures' (sre.google/sre-book)",schematic:compare,latency-budget|order|cloze,sourced,8,608,,shared-foundations,F3,shared-foundation,CONVERT_TO_SHARED_FOUNDATION,"Appears in both routes' prerequisite closure; canonical definition in Codex, application per route.",high
concept:consistency-as-org-constraint,Consistency guarantees as an org-wide contract,Garantías de consistencia como contrato organizacional,spine-concept,/[locale]/lesson/technical-depth-l7,L7,technical-depth,Dozens of teams are each choosing their own consistency guarantee. What would you publish as a platform so they stop deciding it service by service?,read+manipulate-widget+answer-check+graded-checkpoint+self-graded-recall,4,consistency-model-spectrum|pacelc-tradeoffs,,"Kleppmann, DDIA, Ch.9 + Ch.12 (Ordering Guarantees, Aiming for Correctness); Jepsen consistency map|Kleppmann, DDIA, Ch.9 + Ch.12 (Ordering Guarantees, Aiming for Correctness); Jepsen consistency map",schematic:axes,consistency|cloze|match,sourced,7,500,,shared-foundations,F3,shared-foundation,CONVERT_TO_SHARED_FOUNDATION,"Appears in both routes' prerequisite closure; canonical definition in Codex, application per route.",high
concept:evolvability-and-data-architecture,"Evolvability: encoding, schema change, unbundling the DB","Evolucionabilidad: codificación, cambio de esquema, desagregar la BD",spine-concept,/[locale]/lesson/technical-depth-l7,L7,technical-depth,A new field has to reach services owned by teams you will never meet. How do you change the schema without scheduling everyone at once?,read+answer-check+graded-checkpoint+self-graded-recall,3,storage-engines-lsm-vs-btree,,"Kleppmann, DDIA, Ch.4 (Encoding & Evolution) + Ch.12 (Unbundling the Database)|Kleppmann, DDIA, Ch.4 (Encoding & Evolution) + Ch.12 (Unbundling the Database)",schematic:stack,order|categorize,sourced,8,555,,shared-foundations,F3,shared-foundation,CONVERT_TO_SHARED_FOUNDATION,"Appears in both routes' prerequisite closure; canonical definition in Codex, application per route.",high
concept:correctness-under-partial-failure,End-to-end correctness under partial failure,Corrección extremo a extremo ante falla parcial,spine-concept,/[locale]/lesson/technical-depth-l7,L7,technical-depth,"Every piece of your infrastructure claims to be reliable, and duplicate orders still show up. Where does the check that actually protects the customer belong?",read+answer-check+graded-checkpoint+self-graded-recall,3,distributed-failure-modes|consensus-and-atomic-commit|delivery-semantics-idempotency,,"Kleppmann, DDIA, Ch.12 (End-to-End Argument, Idempotence); Saltzer, Reed & Clark, 'End-to-End Arguments in System Design' (1984)|Kleppmann, DDIA, Ch.12 (End-to-End Argument, Idempotence); Saltzer, Reed & Clark, 'End-to-End Arguments in System Design' (1984)",schematic:flow,cloze|categorize,sourced,7,514,,shared-foundations,F3,shared-foundation,CONVERT_TO_SHARED_FOUNDATION,"Appears in both routes' prerequisite closure; canonical definition in Codex, application per route.",high
concept:tradeoff-frameworks-org-scale,Authoring the org's tradeoff frameworks,Autoría de los marcos de tradeoff de la organización,spine-concept,/[locale]/lesson/technical-depth-l7,L7,technical-depth,"Every design review argues latency, durability and consistency from scratch again. What could you write down once so those arguments stop repeating?",read+answer-check+graded-checkpoint+self-graded-recall,3,consistency-as-org-constraint|correctness-under-partial-failure|backpressure-flow-control,,"Dropbox Engineering Career Framework — cited as evidence for the shape of Principal-scope expectations (IC6 Principal, IC7 Senior Principal), not a level-to-IC mapping (dropbox.github.io/dbx-career-framework); synthesized with Kleppmann, DDIA Part II/III|Dropbox Engineering Career Framework — cited as evidence for the shape of Principal-scope expectations (IC6 Principal, IC7 Senior Principal), not a level-to-IC mapping (dropbox.github.io/dbx-career-framework); synthesized with Kleppmann, DDIA Part II/III",schematic:compare,order|match,sourced,7,513,,shared-foundations,F3,shared-foundation,CONVERT_TO_SHARED_FOUNDATION,"Appears in both routes' prerequisite closure; canonical definition in Codex, application per route.",high
concept:tradeoff-vocabulary,"Naming the core tradeoffs: latency vs throughput, performance vs scalability","Nombrar los tradeoffs centrales: latencia vs throughput, rendimiento vs escalabilidad",spine-concept,/[locale]/lesson/systems-architecture-l3,L3,systems-architecture,"Batching doubled the requests your service handles per second and also doubled how long each one waits. Did performance improve, or only throughput?",read+manipulate-widget+answer-check+graded-checkpoint+self-graded-recall,3,,recall-latency-memory-triangle,"The System Design Primer (donnemartin/system-design-primer) — 'Performance vs scalability', 'Latency vs throughput'|The System Design Primer (donnemartin/system-design-primer) — 'Performance vs scalability', 'Latency vs throughput'",schematic:compare,spectrum|match,sourced,6,450,,shared-foundations,F1,shared-foundation,CONVERT_TO_SHARED_FOUNDATION,"Appears in both routes' prerequisite closure; canonical definition in Codex, application per route.",high
concept:horizontal-vs-vertical-scaling,"Scaling up vs scaling out, and why statelessness is the enabler","Escalar hacia arriba vs hacia los lados, y por qué la ausencia de estado lo habilita",spine-concept,/[locale]/lesson/systems-architecture-l3,L3,systems-architecture,You already bought the biggest instance the provider sells and traffic keeps growing. What has to change in your code before a second machine helps at all?,read+manipulate-widget+answer-check+assemble-architecture+graded-checkpoint+self-graded-recall,4,tradeoff-vocabulary,,"The System Design Primer — 'Application layer' and scalability sections; roadmap.sh system-design (Load Balancers, Scaling)|The System Design Primer — 'Application layer' and scalability sections; roadmap.sh system-design (Load Balancers, Scaling)",schematic:compare,scaling-curves|categorize|order,sourced,7,503,,shared-foundations,F1,shared-foundation,CONVERT_TO_SHARED_FOUNDATION,"Appears in both routes' prerequisite closure; canonical definition in Codex, application per route.",high
concept:caching-fundamentals-and-costs,"Caching: what it buys and what it costs (staleness, invalidation)","Caché: qué te da y qué te cuesta (datos rancios, invalidación)",spine-concept,/[locale]/lesson/systems-architecture-l3,L3,systems-architecture,"A cache made reads fast, and now some users see yesterday's price. What tells the cache its copy is wrong, and how stale is acceptable?",read+manipulate-widget+answer-check+graded-checkpoint+self-graded-recall,4,tradeoff-vocabulary,recall-latency-memory-triangle|paged-attention,"ByteByteGo system-design-101 — 'Top 5 Caching Strategies', 'Top 8 Cache Eviction Strategies'; System Design Primer — 'Cache'|ByteByteGo system-design-101 — 'Top 5 Caching Strategies', 'Top 8 Cache Eviction Strategies'; System Design Primer — 'Cache'",schematic:flow,spectrum|match|categorize,sourced,7,510,,shared-foundations,F1,shared-foundation,CONVERT_TO_SHARED_FOUNDATION,"Appears in both routes' prerequisite closure; canonical definition in Codex, application per route.",high
concept:rest-resource-modeling,Modeling an API around resources and HTTP verbs (Richardson levels 1-2),Modelar una API en torno a recursos y verbos HTTP (niveles 1-2 de Richardson),spine-concept,/[locale]/lesson/systems-architecture-l3,L3,systems-architecture,"Your API exposes POST /getUserData and POST /deleteUser, and every answer is 200. What do you gain by naming resources and letting verbs and status codes speak?",read+answer-check+graded-checkpoint+self-graded-recall,3,,,Martin Fowler — 'Richardson Maturity Model' (martinfowler.com/articles/richardsonMaturityModel.html)|Martin Fowler — 'Richardson Maturity Model' (martinfowler.com/articles/richardsonMaturityModel.html),schematic:compare,order,sourced,8,634,,shared-foundations,F1,shared-foundation,CONVERT_TO_SHARED_FOUNDATION,"Appears in both routes' prerequisite closure; canonical definition in Codex, application per route.",high
concept:capacity-estimation,Back-of-the-envelope estimation and latency numbers,Estimación a groso modo y números de latencia que debes conocer,spine-concept,/[locale]/lesson/systems-architecture-l3,L3,systems-architecture,"Someone asks you to design a photo feed. Before choosing any technology, how do you work out on a napkin whether one database could hold it?",read+manipulate-widget+answer-check+graded-checkpoint+self-graded-recall,4,tradeoff-vocabulary,exact-flat-vector-search|ivf-pq-index|kv-cache-memory-cost|batch-size-as-the-latency-cost-lever,"Alex Xu, 'System Design Interview' / ByteByteGo — 'Which Latency Numbers Should You Know?'|Alex Xu, 'System Design Interview' / ByteByteGo — 'Which Latency Numbers Should You Know?'",schematic:axes,latency-budget|order,sourced,9,689,,shared-foundations,F1,shared-foundation,CONVERT_TO_SHARED_FOUNDATION,"Appears in both routes' prerequisite closure; canonical definition in Codex, application per route.",high
concept:cap-and-consistency-patterns,"CAP as a tradeoff, and choosing weak / eventual / strong consistency","CAP como tradeoff, y elegir consistencia débil / eventual / fuerte",spine-concept,/[locale]/lesson/systems-architecture-l4,L4,systems-architecture,"The link between your two data centers drops. Do you keep taking writes and risk conflicting answers, or refuse them and go down for half your users?",read+manipulate-widget+answer-check+graded-checkpoint+self-graded-recall,4,tradeoff-vocabulary|horizontal-vs-vertical-scaling,,"The System Design Primer — 'Availability vs consistency (CAP)', 'Consistency patterns'; ByteByteGo — 'CAP Theorem: One of the Most Misunderstood Terms'|The System Design Primer — 'Availability vs consistency (CAP)', 'Consistency patterns'; ByteByteGo — 'CAP Theorem: One of the Most Misunderstood Terms'",schematic:compare,consistency|match|categorize,sourced,5,446,,shared-foundations,F1,shared-foundation,CONVERT_TO_SHARED_FOUNDATION,"Appears in both routes' prerequisite closure; canonical definition in Codex, application per route.",high
